request_id,model_type,priority,arrival_offset_ms,total_latency_ms,inference_ms,sla_ms,sla_violated,batch_size,scheduler_mode
req_00000,imaging,LOW,120.21043019829975,17.476525000063702,17.11960500006171,1000,False,1,fifo
req_00001,icu,HIGH,237.0199129895224,1.3430109999608248,1.1208720000013273,250,False,1,fifo
req_00002,nlp,MID,356.25796298323513,9.29037700011395,9.201285000017378,500,False,1,fifo
req_00003,icu,HIGH,370.2476774758143,0.9824429999571294,0.8599499999490945,250,False,1,fifo
req_00004,icu,HIGH,374.5695474607332,0.9058780001942068,0.8078180001120927,250,False,1,fifo
req_00005,imaging,LOW,447.20257324604074,17.966556000057608,17.626605000032214,1000,False,1,fifo
req_00006,imaging,LOW,517.7006079589194,17.531675999984145,17.175271000041903,1000,False,1,fifo
req_00007,imaging,LOW,673.9154057863943,17.727007000008598,17.374192000033872,1000,False,1,fifo
req_00008,icu,HIGH,677.8801156455697,0.9945430001243949,0.8700009998392488,250,False,1,fifo
req_00009,icu,HIGH,730.208157972728,1.1512060000095516,0.9736250001424196,250,False,1,fifo
req_00010,nlp,MID,733.7299733126183,8.664454999845475,8.625754999911805,500,False,1,fifo
req_00011,icu,HIGH,788.1811547138163,1.1712229999247938,0.9714759999042144,250,False,1,fifo
req_00012,icu,HIGH,874.7475223580068,1.2752159999217838,1.0033920000296348,250,False,1,fifo
req_00013,imaging,LOW,894.0922635875024,17.42062299977988,17.163256000003457,1000,False,1,fifo
req_00014,imaging,LOW,955.671546720581,16.83107200008817,16.54986700009431,1000,False,1,fifo
req_00015,nlp,MID,963.3602094118922,8.557510999962687,8.525205000069036,500,False,1,fifo
req_00016,nlp,MID,967.9390727814018,9.10331100015901,9.074016999875312,500,False,1,fifo
req_00017,imaging,LOW,983.6980328880214,17.531574999913573,17.335341999796583,1000,False,1,fifo
req_00018,icu,HIGH,1028.7579966565293,1.1430669999681413,1.0397400001238566,250,False,1,fifo
req_00019,nlp,MID,1049.4072631434537,8.986505000153556,8.942904999912571,500,False,1,fifo
req_00020,icu,HIGH,1111.776560634135,1.3832529997453094,1.1283690000709612,250,False,1,fifo
req_00021,imaging,LOW,1122.9553792447512,17.378481999970973,17.085115000099904,1000,False,1,fifo
req_00022,nlp,MID,1214.8538924519744,9.39215200021863,9.31111999989298,500,False,1,fifo
req_00023,nlp,MID,1276.2081856126872,9.20576100004837,9.135169000046517,500,False,1,fifo
req_00024,imaging,LOW,1308.9979933108373,17.25293099996634,16.941590000215,1000,False,1,fifo
req_00025,imaging,LOW,1329.852328626428,16.530276000034064,16.273361000003206,1000,False,1,fifo
req_00026,imaging,LOW,1352.5183130913415,17.14293899992481,16.87617099992167,1000,False,1,fifo
req_00027,imaging,LOW,1356.372170444124,16.096579999662936,15.911336999806736,1000,False,1,fifo
req_00028,imaging,LOW,1365.3537831628516,16.478141999803483,16.281545000083497,1000,False,1,fifo
req_00029,imaging,LOW,1399.6198057430643,16.071411000099033,15.91214600011881,1000,False,1,fifo
req_00030,nlp,MID,1419.053817551055,8.703657999867573,8.668821999890497,500,False,1,fifo
req_00031,nlp,MID,1482.2641604293106,9.404630000237375,9.318437000047197,500,False,1,fifo
req_00032,imaging,LOW,1517.6886918001169,17.233364999992773,16.850172999966162,1000,False,1,fifo
req_00033,nlp,MID,1529.5851895150176,8.463448999915272,8.416511999939758,500,False,1,fifo
req_00034,imaging,LOW,1552.6396063278912,17.19265600014478,16.83825500003877,1000,False,1,fifo
req_00035,icu,HIGH,1584.7174431874168,1.2207100000232458,1.0923459999503393,250,False,1,fifo
req_00036,nlp,MID,1601.9091112593067,8.805287000024691,8.688864999840007,500,False,1,fifo
req_00037,imaging,LOW,1618.004672304622,17.25677099986933,16.913391000116462,1000,False,1,fifo
req_00038,imaging,LOW,1661.9504064142493,17.142861999804154,16.775637999899118,1000,False,1,fifo
req_00039,imaging,LOW,1676.7977668606893,16.683328000130132,16.49073699991277,1000,False,1,fifo
req_00040,nlp,MID,1743.4828881122835,9.176541999913752,9.081002000129956,500,False,1,fifo
req_00041,imaging,LOW,1813.026087424579,17.61351799988188,17.258017999893127,1000,False,1,fifo
req_00042,nlp,MID,1867.2302338228385,9.40351100009866,9.338450999848646,500,False,1,fifo
req_00043,nlp,MID,1870.8816512218605,8.854164999909699,8.819328000072346,500,False,1,fifo
req_00044,imaging,LOW,1927.585026307998,17.476654999889433,17.180650999989666,1000,False,1,fifo
req_00045,imaging,LOW,1995.3019257012568,17.65251100016758,17.309230999899228,1000,False,1,fifo
req_00046,icu,HIGH,2051.403908274128,1.2820669999346137,1.1283640001238382,250,False,1,fifo
req_00047,imaging,LOW,2065.406364285949,18.63984700012952,18.42084200006866,1000,False,1,fifo
req_00048,imaging,LOW,2081.453173837751,16.4158489999827,16.248652000058428,1000,False,1,fifo
req_00049,nlp,MID,2089.739969202831,8.550089000025764,8.518963000142321,500,False,1,fifo
req_00050,nlp,MID,2107.4581448374042,9.132248000008985,9.105158000011215,500,False,1,fifo
req_00051,nlp,MID,2108.515132657894,8.45573200029321,8.413644000029308,500,False,1,fifo
req_00052,imaging,LOW,2116.8829524636794,17.673501000041142,17.424927999854845,1000,False,1,fifo
req_00053,imaging,LOW,2182.6357946910375,17.717843000078574,17.31439299987869,1000,False,1,fifo
req_00054,nlp,MID,2382.4236082502794,9.464704000158235,9.37297500013301,500,False,1,fifo
req_00055,imaging,LOW,2410.6005128697107,17.82941499981098,17.389512999898216,1000,False,1,fifo
req_00056,nlp,MID,2424.8024979497523,8.617176000028849,8.575040999858174,500,False,1,fifo
req_00057,nlp,MID,2444.690310645114,8.679755999939516,8.637257999907888,500,False,1,fifo
req_00058,imaging,LOW,2462.75742179186,17.03917900007218,16.723622999961663,1000,False,1,fifo
req_00059,nlp,MID,2469.23910195304,8.402216000016779,8.373996000045736,500,False,1,fifo
req_00060,nlp,MID,2523.4053586966206,8.849041999783367,8.78585300006307,500,False,1,fifo
req_00061,icu,HIGH,2592.197801372493,1.4824850000441074,1.2449910000214004,250,False,1,fifo
req_00062,icu,HIGH,2667.588257904633,1.3937819998245686,1.1811940000825416,250,False,1,fifo
req_00063,imaging,LOW,2933.0823976926217,17.47046099975705,17.11643999988155,1000,False,1,fifo
req_00064,imaging,LOW,3038.41540943146,18.8729450001847,18.5040400001526,1000,False,1,fifo
req_00065,imaging,LOW,3120.658701456239,17.581079999916255,17.162616000177877,1000,False,1,fifo
req_00066,nlp,MID,3172.833275555069,9.002991999965161,8.91032799995628,500,False,1,fifo
req_00067,nlp,MID,3202.459485503109,8.669763999991119,8.60249099991961,500,False,1,fifo
req_00068,imaging,LOW,3204.6821633167015,18.713210999965668,18.508531999941624,1000,False,1,fifo
req_00069,icu,HIGH,3252.5123026577116,1.1874470002949238,1.0480160001407057,250,False,1,fifo
req_00070,nlp,MID,3283.581457032359,8.54943500016816,8.498054000028787,500,False,1,fifo
req_00071,imaging,LOW,3358.979525787838,18.2635879998561,17.911768999965716,1000,False,1,fifo
req_00072,icu,HIGH,3460.3796048456506,1.5103499998804182,1.2686960001246916,250,False,1,fifo
req_00073,icu,HIGH,3476.983045580514,1.1378509998321533,1.0002440001244395,250,False,1,fifo
req_00074,imaging,LOW,3479.4705816407004,17.68063300009817,17.484944999978325,1000,False,1,fifo
req_00075,imaging,LOW,3525.711693396839,17.642061000224203,17.29900199984513,1000,False,1,fifo
req_00076,nlp,MID,3653.382663386542,9.115484999958426,9.026635000054739,500,False,1,fifo
req_00077,imaging,LOW,3694.436243216965,17.190275999950245,16.87817299989547,1000,False,1,fifo
req_00078,imaging,LOW,3800.983387509184,17.348526999820024,16.990271000167922,1000,False,1,fifo
req_00079,imaging,LOW,3838.6341247761757,30.2674700000789,29.920285999878615,1000,False,1,fifo
req_00080,imaging,LOW,3904.333827158371,22.52709300001152,22.082093000108216,1000,False,1,fifo
req_00081,icu,HIGH,3918.772976892561,1.1764209996908903,1.0347280001496983,250,False,1,fifo
req_00082,imaging,LOW,3925.4938394344954,17.612847999902442,17.4329740000303,1000,False,1,fifo
req_00083,imaging,LOW,3932.61788107151,17.08222799981013,16.916658000127427,1000,False,1,fifo
req_00084,imaging,LOW,3938.501996975265,18.299667000072077,18.13713500018821,1000,False,1,fifo
req_00085,nlp,MID,3941.235652920941,8.880930000217631,8.827191999898787,500,False,1,fifo
req_00086,icu,HIGH,4027.0653124956652,1.254717000061646,1.0747720000381378,250,False,1,fifo
req_00087,nlp,MID,4049.4960624340115,9.31235000002198,9.252775999812002,500,False,1,fifo
req_00088,icu,HIGH,4068.802625567266,1.2246340001001954,1.0953280000194354,250,False,1,fifo
req_00089,imaging,LOW,4115.550592296832,17.79295499995351,17.410724999990634,1000,False,1,fifo
req_00090,imaging,LOW,4124.913965070242,16.615071000065655,16.40108600008716,1000,False,1,fifo
req_00091,imaging,LOW,4220.828587162824,18.845146000152454,18.4058309998818,1000,False,1,fifo
req_00092,imaging,LOW,4285.426389134846,17.25577299995348,16.956544000095164,1000,False,1,fifo
req_00093,imaging,LOW,4301.888498934882,17.598967999918386,17.303394000009575,1000,False,1,fifo
req_00094,icu,HIGH,4311.918089653504,1.027508000144735,0.9469390001868305,250,False,1,fifo
req_00095,imaging,LOW,4338.469070116931,17.043443999951705,16.754476999949475,1000,False,1,fifo
req_00096,imaging,LOW,4353.71061360727,16.659229999873787,16.426421000005575,1000,False,1,fifo
req_00097,imaging,LOW,4357.497548551887,16.470532999839634,16.330273999983547,1000,False,1,fifo
req_00098,icu,HIGH,4382.675538474492,1.0071739999111742,0.9435849999590573,250,False,1,fifo
req_00099,nlp,MID,4495.2694667095475,9.239125999854878,9.152720999964004,500,False,1,fifo
req_00100,imaging,LOW,4545.711963577565,17.362140000099316,16.97276099980627,1000,False,1,fifo
req_00101,imaging,LOW,4699.832524858173,17.54648599983193,17.08915600011096,1000,False,1,fifo
req_00102,imaging,LOW,4802.154141114831,17.434826999902725,17.013182000027882,1000,False,1,fifo
req_00103,icu,HIGH,4858.04874605691,1.3683140000794083,1.1546799998995994,250,False,1,fifo
req_00104,nlp,MID,4950.5787658119025,9.179178999969736,9.082145000093078,500,False,1,fifo
req_00105,icu,HIGH,4986.925299990247,1.3003889999818057,1.0842560000128287,250,False,1,fifo
req_00106,nlp,MID,5040.317762790296,10.113048000261188,10.02246500002002,500,False,1,fifo
req_00107,nlp,MID,5059.328707098043,8.692113999975845,8.642614000109461,500,False,1,fifo
req_00108,imaging,LOW,5070.281413685318,19.82404699991457,19.57604100016397,1000,False,1,fifo
req_00109,imaging,LOW,5177.527282881475,18.32422999991104,17.824656000129835,1000,False,1,fifo
req_00110,icu,HIGH,5184.542430979988,1.0817569999489933,0.9648070001730957,250,False,1,fifo
req_00111,nlp,MID,5193.937380730512,9.271885000169277,9.240202000000863,500,False,1,fifo
req_00112,imaging,LOW,5209.449467609296,16.78424399998039,16.506711999909385,1000,False,1,fifo
req_00113,imaging,LOW,5257.824436617985,17.28286199993454,16.940767000050982,1000,False,1,fifo
req_00114,icu,HIGH,5278.516390419008,1.1155850000213832,1.0185359999468346,250,False,1,fifo
req_00115,imaging,LOW,5312.740537184756,17.063875999767333,16.71930399993471,1000,False,1,fifo
