request_id,model_type,priority,arrival_offset_ms,total_latency_ms,inference_ms,sla_ms,sla_violated,batch_size,scheduler_mode
req_00000,imaging,LOW,120.21043019829975,570.6719980000053,69.24963599999501,1000,False,1,medserve
req_00001,icu,HIGH,237.0199129895224,126.6544049999211,1.296937999995862,250,False,1,medserve
req_00002,nlp,MID,356.25796298323513,261.7207609999459,9.42694399998345,500,False,1,medserve
req_00003,icu,HIGH,370.2476774758143,128.43911200005095,0.9088560000236612,250,False,1,medserve
req_00004,icu,HIGH,374.5695474607332,124.11031799996272,0.9088560000236612,250,False,1,medserve
req_00005,imaging,LOW,447.20257324604074,243.69090400007553,69.24963599999501,1000,False,1,medserve
req_00006,imaging,LOW,517.7006079589194,173.19082300004084,69.24963599999501,1000,False,1,medserve
req_00007,imaging,LOW,673.9154057863943,729.118846999947,84.552398000028,1000,False,1,medserve
req_00008,icu,HIGH,677.8801156455697,127.00398699997459,1.0479150000719528,250,False,1,medserve
req_00009,icu,HIGH,730.208157972728,87.82169599994086,1.0479150000719528,250,False,1,medserve
req_00010,nlp,MID,733.7299733126183,281.96421700005885,10.929852000003848,500,False,1,medserve
req_00011,icu,HIGH,788.1811547138163,29.839365000021644,1.0479150000719528,250,False,1,medserve
req_00012,icu,HIGH,874.7475223580068,128.2669730000198,1.234466999903816,250,False,1,medserve
req_00013,imaging,LOW,894.0922635875024,508.9311199998483,84.552398000028,1000,False,1,medserve
req_00014,imaging,LOW,955.671546720581,447.3694489999907,84.552398000028,1000,False,1,medserve
req_00015,nlp,MID,963.3602094118922,52.40732600004412,10.929852000003848,500,False,1,medserve
req_00016,nlp,MID,967.9390727814018,47.83921200002078,10.929852000003848,500,False,1,medserve
req_00017,imaging,LOW,983.6980328880214,419.3404889999656,84.552398000028,1000,False,1,medserve
req_00018,icu,HIGH,1028.7579966565293,126.79948599997442,1.032593000104498,250,False,1,medserve
req_00019,nlp,MID,1049.4072631434537,268.2703970000148,15.788917999998375,500,False,1,medserve
req_00020,icu,HIGH,1111.776560634135,43.77857299998868,1.032593000104498,250,False,1,medserve
req_00021,imaging,LOW,1122.9553792447512,280.08915199991316,84.552398000028,1000,False,1,medserve
req_00022,nlp,MID,1214.8538924519744,102.80637500004377,15.788917999998375,500,False,1,medserve
req_00023,nlp,MID,1276.2081856126872,41.4497529999353,15.788917999998375,500,False,1,medserve
req_00024,imaging,LOW,1308.9979933108373,92.89666199998464,84.552398000028,1000,False,1,medserve
req_00025,imaging,LOW,1329.852328626428,578.1108479999239,74.31556199992428,1000,False,1,medserve
req_00026,imaging,LOW,1352.5183130913415,504.7927179998951,74.31556199992428,1000,False,1,medserve
req_00027,imaging,LOW,1356.372170444124,504.7768189999042,74.31556199992428,1000,False,1,medserve
req_00028,imaging,LOW,1365.3537831628516,504.7730290000327,74.31556199992428,1000,False,1,medserve
req_00029,imaging,LOW,1399.6198057430643,504.76947599987034,74.31556199992428,1000,False,1,medserve
req_00030,nlp,MID,1419.053817551055,305.0034179999493,10.003086999972766,500,False,1,medserve
req_00031,nlp,MID,1482.2641604293106,241.70802399993408,10.003086999972766,500,False,1,medserve
req_00032,imaging,LOW,1517.6886918001169,390.2197689998429,74.31556199992428,1000,False,1,medserve
req_00033,nlp,MID,1529.5851895150176,194.4630219999235,10.003086999972766,500,False,1,medserve
req_00034,imaging,LOW,1552.6396063278912,355.2953029999044,74.31556199992428,1000,False,1,medserve
req_00035,icu,HIGH,1584.7174431874168,127.40283699997235,1.1071300000367046,250,False,1,medserve
req_00036,nlp,MID,1601.9091112593067,122.14378000004217,10.003086999972766,500,False,1,medserve
req_00037,imaging,LOW,1618.004672304622,289.9575440000044,74.31556199992428,1000,False,1,medserve
req_00038,imaging,LOW,1661.9504064142493,246.00489099987317,74.31556199992428,1000,False,1,medserve
req_00039,imaging,LOW,1676.7977668606893,231.144760999945,74.31556199992428,1000,False,1,medserve
req_00040,nlp,MID,1743.4828881122835,261.00376899994444,10.204462000046988,500,False,1,medserve
req_00041,imaging,LOW,1813.026087424579,94.83797400002368,74.31556199992428,1000,False,1,medserve
req_00042,nlp,MID,1867.2302338228385,137.3305639999453,10.204462000046988,500,False,1,medserve
req_00043,nlp,MID,1870.8816512218605,96.50743200001307,10.204462000046988,500,False,1,medserve
req_00044,imaging,LOW,1927.585026307998,573.1106929999078,71.09865200004606,1000,False,1,medserve
req_00045,imaging,LOW,1995.3019257012568,505.320742999902,71.09865200004606,1000,False,1,medserve
req_00046,icu,HIGH,2051.403908274128,126.55608799995389,0.9750089999442935,250,False,1,medserve
req_00047,imaging,LOW,2065.406364285949,435.30746999999974,71.09865200004606,1000,False,1,medserve
req_00048,imaging,LOW,2081.453173837751,419.26268400007393,71.09865200004606,1000,False,1,medserve
req_00049,nlp,MID,2089.739969202831,262.1444940000074,10.347142999989956,500,False,1,medserve
req_00050,nlp,MID,2107.4581448374042,244.33638799993787,10.347142999989956,500,False,1,medserve
req_00051,nlp,MID,2108.515132657894,243.37230000004638,10.347142999989956,500,False,1,medserve
req_00052,imaging,LOW,2116.8829524636794,383.82478499994613,71.09865200004606,1000,False,1,medserve
req_00053,imaging,LOW,2182.6357946910375,318.0072630000068,71.09865200004606,1000,False,1,medserve
req_00054,nlp,MID,2382.4236082502794,351.9125279999571,11.01451400006681,500,False,1,medserve
req_00055,imaging,LOW,2410.6005128697107,90.1335609999951,71.09865200004606,1000,False,1,medserve
req_00056,nlp,MID,2424.8024979497523,309.53747399989516,11.01451400006681,500,False,1,medserve
req_00057,nlp,MID,2444.690310645114,289.634975999943,11.01451400006681,500,False,1,medserve
req_00058,imaging,LOW,2462.75742179186,571.5621379999211,68.5389989999976,1000,False,1,medserve
req_00059,nlp,MID,2469.23910195304,233.5109030000167,11.01451400006681,500,False,1,medserve
req_00060,nlp,MID,2523.4053586966206,210.91783299995586,11.01451400006681,500,False,1,medserve
req_00061,icu,HIGH,2592.197801372493,129.07359799998812,0.9911480000255324,250,False,1,medserve
req_00062,icu,HIGH,2667.588257904633,53.70106200000737,0.9911480000255324,250,False,1,medserve
req_00063,imaging,LOW,2933.0823976926217,139.2796279998729,68.5389989999976,1000,False,1,medserve
req_00064,imaging,LOW,3038.41540943146,585.5272859999677,33.8987630000247,1000,False,1,medserve
req_00065,imaging,LOW,3120.658701456239,503.3192319999216,33.8987630000247,1000,False,1,medserve
req_00066,nlp,MID,3172.833275555069,262.4770430000499,10.729151999953501,500,False,1,medserve
req_00067,nlp,MID,3202.459485503109,232.87742100004107,10.729151999953501,500,False,1,medserve
req_00068,imaging,LOW,3204.6821633167015,419.29445399995893,33.8987630000247,1000,False,1,medserve
req_00069,icu,HIGH,3252.5123026577116,126.46721299993806,1.0277750000113883,250,False,1,medserve
req_00070,nlp,MID,3283.581457032359,151.76315500005148,10.729151999953501,500,False,1,medserve
req_00071,imaging,LOW,3358.979525787838,264.9681720000226,33.8987630000247,1000,False,1,medserve
req_00072,icu,HIGH,3460.3796048456506,127.06230999995023,0.9371020000799035,250,False,1,medserve
req_00073,icu,HIGH,3476.983045580514,110.47137400007341,0.9371020000799035,250,False,1,medserve
req_00074,imaging,LOW,3479.4705816407004,144.37141699995846,33.8987630000247,1000,False,1,medserve
req_00075,imaging,LOW,3525.711693396839,98.17670799989719,33.8987630000247,1000,False,1,medserve
req_00076,nlp,MID,3653.382663386542,259.63983599992935,8.252367999944,500,False,1,medserve
req_00077,imaging,LOW,3694.436243216965,588.4714340000646,73.71008500001608,1000,False,1,medserve
req_00078,imaging,LOW,3800.983387509184,481.9153020000085,73.71008500001608,1000,False,1,medserve
req_00079,imaging,LOW,3838.6341247761757,444.2696850000648,73.71008500001608,1000,False,1,medserve
req_00080,imaging,LOW,3904.333827158371,378.5823559999699,73.71008500001608,1000,False,1,medserve
req_00081,icu,HIGH,3918.772976892561,127.9052340000635,0.9567229999447591,250,False,1,medserve
req_00082,imaging,LOW,3925.4938394344954,357.4329209999414,73.71008500001608,1000,False,1,medserve
req_00083,imaging,LOW,3932.61788107151,350.30489100003615,73.71008500001608,1000,False,1,medserve
req_00084,imaging,LOW,3938.501996975265,344.42192999995314,73.71008500001608,1000,False,1,medserve
req_00085,nlp,MID,3941.235652920941,267.2107590000378,8.64043199999287,500,False,1,medserve
req_00086,icu,HIGH,4027.0653124956652,19.62933700007852,0.9567229999447591,250,False,1,medserve
req_00087,nlp,MID,4049.4960624340115,158.9454619999742,8.64043199999287,500,False,1,medserve
