request_id,model_type,priority,arrival_offset_ms,total_latency_ms,inference_ms,sla_ms,sla_violated,batch_size,scheduler_mode
req_00000,imaging,LOW,480.841720793199,485.475363000005,84.51750099999344,1000,False,1,triton
req_00001,icu,HIGH,948.0796519580896,84.84081799996784,4.061874000001353,250,False,1,triton
req_00002,nlp,MID,1425.0318519329405,160.7595109999529,10.650854999994408,500,False,1,triton
req_00003,icu,HIGH,1480.9907099032573,82.02015300001949,1.080311000009715,250,False,1,triton
req_00004,icu,HIGH,1498.2781898429328,64.7175419999403,1.080311000009715,250,False,1,triton
req_00005,imaging,LOW,1788.810292984163,481.0594670000719,79.50997699998652,1000,False,1,triton
req_00006,imaging,LOW,2070.8024318356775,199.0632550000446,79.50997699998652,1000,False,1,triton
req_00007,imaging,LOW,2695.6616231455773,420.12946699996246,19.567464000033397,1000,False,1,triton
req_00008,icu,HIGH,2711.520462582279,81.75954499997897,1.1655639999617051,250,False,1,triton
req_00009,icu,HIGH,2920.832631890912,81.64280899998266,1.1199279999800638,250,False,1,triton
req_00010,nlp,MID,2934.9198932504733,161.4959379999782,10.415652999995473,500,False,1,triton
req_00011,icu,HIGH,3152.7246188552654,81.29643300001044,0.9853500000076565,250,False,1,triton
req_00012,icu,HIGH,3498.990089432027,81.33164600003511,1.1571959999514547,250,False,1,triton
req_00013,imaging,LOW,3576.3690543500097,489.22395000001416,87.73680899997771,1000,False,1,triton
req_00014,imaging,LOW,3822.686186882324,242.88017100002617,87.73680899997771,1000,False,1,triton
req_00015,nlp,MID,3853.440837647569,169.63502500002505,19.267345999992358,500,False,1,triton
req_00016,nlp,MID,3871.7562911256073,151.3272139999899,19.267345999992358,500,False,1,triton
req_00017,imaging,LOW,3934.7921315520857,130.81988399999682,87.73680899997771,1000,False,1,triton
req_00018,icu,HIGH,4115.031986626117,82.0676659999881,1.0243739999964419,250,False,1,triton
req_00019,nlp,MID,4197.629052573815,159.2721320000128,9.22009200002094,500,False,1,triton
req_00020,icu,HIGH,4447.10624253654,81.97898300003726,1.0329980000278738,250,False,1,triton
req_00021,imaging,LOW,4491.821516979005,418.4786369999638,18.18836000001056,1000,False,1,triton
req_00022,nlp,MID,4859.415569807898,160.81380199996056,10.08889199999885,500,False,1,triton
req_00023,nlp,MID,5104.832742450749,160.50551899994025,10.145149999971181,500,False,1,triton
