request_id,model_type,priority,arrival_offset_ms,total_latency_ms,inference_ms,sla_ms,sla_violated,batch_size,scheduler_mode
req_00000,imaging,LOW,120.21043019829975,473.632753999962,71.94957999996632,1000,False,1,triton
req_00001,icu,HIGH,237.0199129895224,81.63950800005114,1.351017999979831,250,False,1,triton
req_00002,nlp,MID,356.25796298323513,160.16551399999298,9.116920999986178,500,False,1,triton
req_00003,icu,HIGH,370.2476774758143,81.14153100003023,0.8028940000031071,250,False,1,triton
req_00004,icu,HIGH,374.5695474607332,76.814486999996,0.8028940000031071,250,False,1,triton
req_00005,imaging,LOW,447.20257324604074,146.63874000002397,71.94957999996632,1000,False,1,triton
req_00006,imaging,LOW,517.7006079589194,76.13768599997275,71.94957999996632,1000,False,1,triton
req_00007,imaging,LOW,673.9154057863943,478.15346599998884,76.34996999996702,1000,False,1,triton
req_00008,icu,HIGH,677.8801156455697,81.61812600004487,0.8629089999772077,250,False,1,triton
req_00009,icu,HIGH,730.208157972728,29.289786000037566,0.8629089999772077,250,False,1,triton
req_00010,nlp,MID,733.7299733126183,160.97613799996907,9.908081999981277,500,False,1,triton
req_00011,icu,HIGH,788.1811547138163,81.82656199997291,0.6757859999879656,250,False,1,triton
req_00012,icu,HIGH,874.7475223580068,81.24021800002083,0.6859370000142917,250,False,1,triton
req_00013,imaging,LOW,894.0922635875024,257.9832119999919,76.34996999996702,1000,False,1,triton
req_00014,imaging,LOW,955.671546720581,196.3158270000131,76.34996999996702,1000,False,1,triton
req_00015,nlp,MID,963.3602094118922,164.56990100000985,13.49444200002381,500,False,1,triton
req_00016,nlp,MID,967.9390727814018,159.9838480000035,13.49444200002381,500,False,1,triton
req_00017,imaging,LOW,983.6980328880214,168.39227999997092,76.34996999996702,1000,False,1,triton
req_00018,icu,HIGH,1028.7579966565293,82.36155700002564,1.216264999982286,250,False,1,triton
req_00019,nlp,MID,1049.4072631434537,78.52102600003127,13.49444200002381,500,False,1,triton
req_00020,icu,HIGH,1111.776560634135,81.55225799995242,0.9319350000396298,250,False,1,triton
req_00021,imaging,LOW,1122.9553792447512,485.4008519999916,83.69557999998278,1000,False,1,triton
req_00022,nlp,MID,1214.8538924519744,162.4158330000355,11.640800999998646,500,False,1,triton
req_00023,nlp,MID,1276.2081856126872,101.06883100006962,11.640800999998646,500,False,1,triton
req_00024,imaging,LOW,1308.9979933108373,299.38158500002464,83.69557999998278,1000,False,1,triton
req_00025,imaging,LOW,1329.852328626428,278.5248399999691,83.69557999998278,1000,False,1,triton
req_00026,imaging,LOW,1352.5183130913415,255.84601400000975,83.69557999998278,1000,False,1,triton
req_00027,imaging,LOW,1356.372170444124,252.00887900003,83.69557999998278,1000,False,1,triton
req_00028,imaging,LOW,1365.3537831628516,243.02813500002958,83.69557999998278,1000,False,1,triton
req_00029,imaging,LOW,1399.6198057430643,208.76537100004498,83.69557999998278,1000,False,1,triton
req_00030,nlp,MID,1419.053817551055,169.32122099993285,18.46884499997259,500,False,1,triton
req_00031,nlp,MID,1482.2641604293106,106.13448999996763,18.46884499997259,500,False,1,triton
req_00032,imaging,LOW,1517.6886918001169,90.70135400001891,83.69557999998278,1000,False,1,triton
req_00033,nlp,MID,1529.5851895150176,58.78498799994122,18.46884499997259,500,False,1,triton
req_00034,imaging,LOW,1552.6396063278912,483.41743800003314,82.530663,1000,False,1,triton
req_00035,icu,HIGH,1584.7174431874168,81.99869999999646,1.0565399999791225,250,False,1,triton
req_00036,nlp,MID,1601.9091112593067,160.53383299999405,9.94084199999179,500,False,1,triton
req_00037,imaging,LOW,1618.004672304622,418.0353130000294,82.530663,1000,False,1,triton
req_00038,imaging,LOW,1661.9504064142493,374.08583600004204,82.530663,1000,False,1,triton
req_00039,imaging,LOW,1676.7977668606893,359.25638600002276,82.530663,1000,False,1,triton
req_00040,nlp,MID,1743.4828881122835,18.960709000006318,9.94084199999179,500,False,1,triton
req_00041,imaging,LOW,1813.026087424579,223.02037400001427,82.530663,1000,False,1,triton
req_00042,nlp,MID,1867.2302338228385,162.73878399998648,12.334792999979527,500,False,1,triton
req_00043,nlp,MID,1870.8816512218605,159.0937879999983,12.334792999979527,500,False,1,triton
req_00044,imaging,LOW,1927.585026307998,108.46202800003812,82.530663,1000,False,1,triton
req_00045,imaging,LOW,1995.3019257012568,475.7710429999279,74.9669269999913,1000,False,1,triton
req_00046,icu,HIGH,2051.403908274128,81.27999200002523,0.9746599999971295,250,False,1,triton
req_00047,imaging,LOW,2065.406364285949,405.6410469999537,74.9669269999913,1000,False,1,triton
req_00048,imaging,LOW,2081.453173837751,389.4893289999454,74.9669269999913,1000,False,1,triton
req_00049,nlp,MID,2089.739969202831,161.89723800000502,10.886546999984148,500,False,1,triton
req_00050,nlp,MID,2107.4581448374042,144.18139500002144,10.886546999984148,500,False,1,triton
req_00051,nlp,MID,2108.515132657894,143.1371999999974,10.886546999984148,500,False,1,triton
req_00052,imaging,LOW,2116.8829524636794,354.0720399999409,74.9669269999913,1000,False,1,triton
req_00053,imaging,LOW,2182.6357946910375,288.3944259999553,74.9669269999913,1000,False,1,triton
req_00054,nlp,MID,2382.4236082502794,164.0451849999372,13.606851000020015,500,False,1,triton
req_00055,imaging,LOW,2410.6005128697107,473.66800100001274,73.2147520000126,1000,False,1,triton
req_00056,nlp,MID,2424.8024979497523,121.68948599998839,13.606851000020015,500,False,1,triton
req_00057,nlp,MID,2444.690310645114,101.810187999974,13.606851000020015,500,False,1,triton
req_00058,imaging,LOW,2462.75742179186,421.5188419999904,73.2147520000126,1000,False,1,triton
req_00059,nlp,MID,2469.23910195304,77.24117300001672,13.606851000020015,500,False,1,triton
req_00060,nlp,MID,2523.4053586966206,23.079356000002008,13.606851000020015,500,False,1,triton
req_00061,icu,HIGH,2592.197801372493,81.80855600000359,1.1362440000084462,250,False,1,triton
req_00062,icu,HIGH,2667.588257904633,6.419326000032015,1.1362440000084462,250,False,1,triton
req_00063,imaging,LOW,2933.0823976926217,430.5970789999701,29.62400600000592,1000,False,1,triton
req_00064,imaging,LOW,3038.41540943146,325.26419900002657,29.62400600000592,1000,False,1,triton
req_00065,imaging,LOW,3120.658701456239,243.013357000018,29.62400600000592,1000,False,1,triton
req_00066,nlp,MID,3172.833275555069,170.0582089999807,19.374303999995846,500,False,1,triton
req_00067,nlp,MID,3202.459485503109,140.43183399992995,19.374303999995846,500,False,1,triton
req_00068,imaging,LOW,3204.6821633167015,158.9940110000316,29.62400600000592,1000,False,1,triton
req_00069,icu,HIGH,3252.5123026577116,83.80521000002045,2.6807609999650595,250,False,1,triton
req_00070,nlp,MID,3283.581457032359,59.32008799997857,19.374303999995846,500,False,1,triton
req_00071,imaging,LOW,3358.979525787838,428.8570839999593,27.853907000007894,1000,False,1,triton
req_00072,icu,HIGH,3460.3796048456506,81.76287199999206,1.1129270000083125,250,False,1,triton
req_00073,icu,HIGH,3476.983045580514,65.16024199995445,1.1129270000083125,250,False,1,triton
req_00074,imaging,LOW,3479.4705816407004,308.35862900002394,27.853907000007894,1000,False,1,triton
req_00075,imaging,LOW,3525.711693396839,262.15002599998843,27.853907000007894,1000,False,1,triton
req_00076,nlp,MID,3653.382663386542,160.2745579999755,9.92541200002961,500,False,1,triton
req_00077,imaging,LOW,3694.436243216965,93.42564999999013,27.853907000007894,1000,False,1,triton
req_00078,imaging,LOW,3800.983387509184,446.6309670000337,45.81415999996352,1000,False,1,triton
req_00079,imaging,LOW,3838.6341247761757,408.9841810000362,45.81415999996352,1000,False,1,triton
req_00080,imaging,LOW,3904.333827158371,343.1888400000171,45.81415999996352,1000,False,1,triton
req_00081,icu,HIGH,3918.772976892561,81.46318700001575,0.9698239999806901,250,False,1,triton
req_00082,imaging,LOW,3925.4938394344954,322.0940900000278,45.81415999996352,1000,False,1,triton
req_00083,imaging,LOW,3932.61788107151,314.96941300004255,45.81415999996352,1000,False,1,triton
req_00084,imaging,LOW,3938.501996975265,309.0048600000446,45.81415999996352,1000,False,1,triton
req_00085,nlp,MID,3941.235652920941,159.96633700001985,9.871029000009912,500,False,1,triton
req_00086,icu,HIGH,4027.0653124956652,82.14619500003755,0.9412819999852218,250,False,1,triton
req_00087,nlp,MID,4049.4960624340115,51.807637999998406,9.871029000009912,500,False,1,triton
req_00088,icu,HIGH,4068.802625567266,40.41880400001537,0.9412819999852218,250,False,1,triton
req_00089,imaging,LOW,4115.550592296832,132.06811500003096,45.81415999996352,1000,False,1,triton
req_00090,imaging,LOW,4124.913965070242,122.70548500004224,45.81415999996352,1000,False,1,triton
req_00091,imaging,LOW,4220.828587162824,497.89776799996616,95.8999810000023,1000,False,1,triton
req_00092,imaging,LOW,4285.426389134846,433.3117830000119,95.8999810000023,1000,False,1,triton
req_00093,imaging,LOW,4301.888498934882,416.9016859999974,95.8999810000023,1000,False,1,triton
req_00094,icu,HIGH,4311.918089653504,81.44785000005504,1.181381999970199,250,False,1,triton
req_00095,imaging,LOW,4338.469070116931,380.2843400000129,95.8999810000023,1000,False,1,triton
req_00096,imaging,LOW,4353.71061360727,365.04235699999845,95.8999810000023,1000,False,1,triton
req_00097,imaging,LOW,4357.497548551887,361.2589520000038,95.8999810000023,1000,False,1,triton
req_00098,icu,HIGH,4382.675538474492,10.683864000020549,1.181381999970199,250,False,1,triton
req_00099,nlp,MID,4495.2694667095475,172.31095999997342,21.53342200000452,500,False,1,triton
req_00100,imaging,LOW,4545.711963577565,173.04762999998638,95.8999810000023,1000,False,1,triton
req_00101,imaging,LOW,4699.832524858173,433.0755210000207,31.91387900000109,1000,False,1,triton
req_00102,imaging,LOW,4802.154141114831,330.7573589999811,31.91387900000109,1000,False,1,triton
req_00103,icu,HIGH,4858.04874605691,81.61908599996241,1.0273500000153035,250,False,1,triton
req_00104,nlp,MID,4950.5787658119025,172.8976079999702,22.24969499997087,500,False,1,triton
req_00105,icu,HIGH,4986.925299990247,81.23549300001469,0.9768889999577368,250,False,1,triton
req_00106,nlp,MID,5040.317762790296,83.1626319999923,22.24969499997087,500,False,1,triton
req_00107,nlp,MID,5059.328707098043,64.15479900001083,22.24969499997087,500,False,1,triton
req_00108,imaging,LOW,5070.281413685318,62.65736300003482,31.91387900000109,1000,False,1,triton
req_00109,imaging,LOW,5177.527282881475,443.3666019999655,42.288360999975794,1000,False,1,triton
req_00110,icu,HIGH,5184.542430979988,81.42506599996705,0.9490439999808586,250,False,1,triton
req_00111,nlp,MID,5193.937380730512,160.21389800001634,9.726656999987426,500,False,1,triton
req_00112,imaging,LOW,5209.449467609296,411.43155899998965,42.288360999975794,1000,False,1,triton
req_00113,imaging,LOW,5257.824436617985,363.0923930000281,42.288360999975794,1000,False,1,triton
req_00114,icu,HIGH,5278.516390419008,81.76944500004174,0.9660709999934625,250,False,1,triton
req_00115,imaging,LOW,5312.740537184756,308.1398040000349,42.288360999975794,1000,False,1,triton
req_00116,imaging,LOW,5420.729482230992,200.14556299999822,42.288360999975794,1000,False,1,triton
req_00117,icu,HIGH,5497.815494032706,82.2771439999924,1.1913569999819629,250,False,1,triton
req_00118,imaging,LOW,5556.37784355209,64.50116000004346,42.288360999975794,1000,False,1,triton
req_00119,imaging,LOW,5564.925340075021,55.90237299998989,42.288360999975794,1000,False,1,triton
req_00120,imaging,LOW,5624.39638690967,434.7189410000574,33.947005000015906,1000,False,1,triton
req_00121,imaging,LOW,5647.1203034896635,411.9990130000515,33.947005000015906,1000,False,1,triton
req_00122,imaging,LOW,5653.308483334353,405.7247890000581,33.947005000015906,1000,False,1,triton
req_00123,imaging,LOW,5673.279769237202,385.75628100003814,33.947005000015906,1000,False,1,triton
req_00124,imaging,LOW,5676.807641046768,382.22776700003305,33.947005000015906,1000,False,1,triton
req_00125,nlp,MID,5722.561898552817,163.24261200003093,12.443563000033464,500,False,1,triton
req_00126,nlp,MID,5771.145744627128,114.65458100003889,12.443563000033464,500,False,1,triton
req_00127,nlp,MID,5785.860750092377,99.85049600008642,12.443563000033464,500,False,1,triton
req_00128,nlp,MID,5788.152820943683,97.56553500000155,12.443563000033464,500,False,1,triton
req_00129,icu,HIGH,5924.61834329321,81.72778199997265,1.023314000008213,250,False,1,triton
req_00130,imaging,LOW,5965.0083012699,94.11935400008224,33.947005000015906,1000,False,1,triton
req_00131,imaging,LOW,6039.411940759431,418.8072229999816,18.404667000027075,1000,False,1,triton
req_00132,icu,HIGH,6057.051685064975,81.59821600001305,0.9364799999502793,250,False,1,triton
req_00133,imaging,LOW,6140.871728229876,317.3733779999311,18.404667000027075,1000,False,1,triton
